danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist,track_id
0.581,0.269,9,-12.815,1,0.0352,0.858,0,0.0909,0.372,89.999,207739,FALSE,1,Williston (Live),Chris Hawkey,27mu6M5JJK84iYGvK223ZO
0.562,0.877,7,-1.77,1,0.0427,0.132,0,0.28,0.621,113.985,291720,FALSE,0,He's Working it out,Tammy Caesar,6yTUEAT2FYS5JUA6UH7BAe
0.59,0.87,8,-3.647,1,0.0702,0.141,0,0.0624,0.803,134.018,243880,FALSE,0,Strong and Mighty,Tammy Caesar,4mQZb0LbFl8uPmLGibQQgz
0.462,0.661,1,-1.814,0,0.034,0.363,1.49E-06,0.119,0.132,104.803,306000,FALSE,0,Here I AM,Tammy Caesar,3P9xtdndakY1V3eV0rs0zS
0.695,0.72,0,-4.445,0,0.053,0.291,0,0.368,0.606,91.986,168960,FALSE,0,Kings of Kings,Tammy Caesar,300gUI6UgnMKRyMfvGZzz0
0.585,0.621,3,-3.579,1,0.0356,0.601,1.74E-05,0.11,0.139,117.833,262667,FALSE,0,Over and over,Tammy Caesar,6a0L7kj5hzVHQQ9S09F40z
0.747,0.565,5,-4.558,0,0.0753,0.0448,1.32E-06,0.0804,0.551,148.032,231107,FALSE,0,Ain't No Doubt it,Tammy Caesar,3LyblvrQWPUfu3IKBoGkpG
0.331,0.208,8,-7.895,1,0.0342,0.93,0.00017,0.11,0.075,132.709,348067,FALSE,6,I won't Complain,Tammy Caesar,3sBrbHWVL4pU2RC3TpzQIt
0.316,0.264,8,-8.473,1,0.0273,0.903,1.82E-05,0.155,0.276,88.736,256187,FALSE,1,Great Is Thy Faithfulness,Tammy Caesar,3MPN004Wa1mSEXtQ4xrvMW
0.843,0.584,7,-9.115,0,0.282,0.00246,0.00296,0.121,0.387,171.965,112081,TRUE,1,Fast Cars,ynslilblake,06krLZ1FFXquJV6Ej0NDuB
0.564,0.372,7,-15.045,0,0.418,0.463,1.48E-05,0.102,0.376,71.492,191494,TRUE,1,Marvin Gayy,ynslilblake,4FNkSaMy3oIH5h9BuZMQvR
0.84,0.515,2,-9.078,1,0.314,0.0278,1.64E-06,0.169,0.309,110.047,152811,TRUE,2,Forty Thousand,ynslilblake,5ZNgMPs8GEH8q5mOvbxUxB
0.796,0.39,1,-8.004,1,0.381,0.102,0,0.0723,0.361,80.009,143637,TRUE,2,BACKSEAT,ynslilblake,4kWsPsBu8Xmd0NaQNORZdO
0.629,0.617,0,-6.028,1,0.243,0.207,0,0.445,0.579,151.926,128290,TRUE,2,Dummy Shi,ynslilblake,0dzo2qhlsrqsYOVwXtqDJR
